Description,p_y101_y1015,q_y101_y1015,p_y101_y102,q_y101_y102,p_y101_y201,q_y101_y201,p_y101_y202,q_y101_y202,p_y102_y201,q_y102_y201,p_y102_y202,q_y102_y202,p_y201_y202,q_y201_y202,>1pep
Eukaryotic peptide chain release factor subunit 1 OS=Bos taurus GN=ETF1 PE=2 SV=3,0.244055627,0.267900444,0.174223637,0.355427844,0.967718081,0.776013627,0.549759467,0.678840974,0.270539429,0.299532923,0.365256522,1,0.565192798,0.540028072,x
Thimet oligopeptidase OS=Homo sapiens GN=THOP1 PE=1 SV=2,0.251928794,0.272322785,0.056078457,0.265383719,0.939390247,0.76814849,0.167449538,0.483568795,0.275753816,0.300704709,0.914000958,1,0.344602427,0.449527301,x
Ubiquitin-conjugating enzyme E2 variant 2 OS=Bos taurus GN=UBE2V2 PE=2 SV=3,0.266023949,0.279043482,0.951199663,0.602518914,0.36296535,0.608824883,0.756055882,0.766346929,0.366023234,0.332688058,0.737611984,1,0.339182974,0.448129395,x
Protein FAM107B OS=Homo sapiens GN=FAM107B PE=1 SV=1,0.024004839,0.077859356,0.134332612,0.331434248,0.482726239,0.63592952,0.284319524,0.556719631,0.969997613,0.519860976,0.903160954,1,0.965773618,0.691077549,x
S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2,0.888846996,0.574003355,0.302276921,0.407248141,0.793239657,0.724613859,0.422196944,0.625693546,0.60743613,0.405523329,0.312038583,1,0.386617205,0.455337215,x
Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1,0.907560714,0.580410013,0.221593339,0.380115566,0.740732628,0.705720828,0.735525272,0.760434923,0.528344532,0.379892812,0.444362651,1,0.976817149,0.694111696,x
Ephrin type-A receptor 5 OS=Homo sapiens GN=EPHA5 PE=1 SV=3,0.016162664,0.066383092,0.070014765,0.287929029,0.85558348,0.749364708,0.341964821,0.590179282,0.087800916,0.230303107,0.651350151,1,0.359253953,0.452141063,x
40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3,0.324800116,0.312334417,0.452631498,0.464374871,0.358904414,0.608824883,0.54999338,0.678840974,0.310692648,0.316119194,0.019487747,1,0.39518735,0.460744497,x
Deoxycytidylate deaminase OS=Homo sapiens GN=DCTD PE=1 SV=2,0.120572326,0.182960527,0.756846714,0.55112413,0.04884167,0.608824883,0.988134741,0.825463997,0.04132417,0.202796792,0.783510361,1,0.05851626,0.255404926,x
Nucleotide exchange factor SIL1 OS=Homo sapiens GN=SIL1 PE=1 SV=1,0.413127346,0.356235553,0.567238043,0.493450433,0.154871293,0.608824883,0.368707953,0.605416816,0.496016621,0.371927722,0.42899582,1,0.494923006,0.514476552,x
Serine/threonine-protein phosphatase 5 OS=Homo sapiens GN=PPP5C PE=1 SV=1,0.00034316,0.018835858,0.004605973,0.160228477,0.237645081,0.608824883,0.026798867,0.254093355,0.603581927,0.404622864,0.880933941,1,0.688365474,0.590514655,x
PRKC apoptosis WT1 regulator protein OS=Homo sapiens GN=PAWR PE=1 SV=1,0.196796004,0.237632211,0.548402584,0.490744042,0.930789283,0.76461931,0.637445922,0.715616576,0.691290017,0.432020988,0.194681183,1,0.919349758,0.678175873,x
Interleukin-18 OS=Homo sapiens GN=IL18 PE=1 SV=1,0.102492475,0.168321582,0.006037738,0.160228477,0.059726568,0.608824883,0.002707916,0.100587927,0.007568768,0.132803301,0.49794059,1,0.00783334,0.130086505,x
Somatomedin-B and thrombospondin type-1 domain-containing protein OS=Homo sapiens GN=SBSPON PE=1 SV=2,0.459049588,0.381488869,0.058449476,0.272496262,0.15032273,0.608824883,0.060538122,0.360079942,0.533875286,0.382165384,0.88225672,1,0.506155005,0.521998372,x
Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=1 SV=2,0.108831472,0.174343522,0.015692425,0.198126971,0.275661273,0.608824883,0.407885625,0.618379065,0.127927851,0.23758134,0.2415407,1,0.214305435,0.389946673,x
Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=1 SV=1,0.404254838,0.351438242,0.549010351,0.490744042,0.331915671,0.608824883,0.951048873,0.820442581,0.305413166,0.313967612,0.398030909,1,0.332615918,0.443678147,x
Ribonuclease pancreatic OS=Bos taurus GN=RNASE1 PE=1 SV=1,0.676669044,0.490833206,0.565376229,0.493369873,0.333050404,0.608824883,0.632892518,0.713040037,0.409731705,0.343134931,0.987986911,1,0.511764665,0.523711455,x
Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2,0.270592822,0.282234178,0.456292626,0.465021932,0.406228392,0.61323726,0.775598896,0.770692618,0.566906412,0.393628221,0.474304062,1,0.374640424,0.452141063,x
Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1,0.036631715,0.095898012,0.377719628,0.436158625,0.278241755,0.608824883,0.344338763,0.591681707,0.835066175,0.482268424,0.817108343,1,0.954644759,0.688035264,x
Putative G antigen family E member 3 OS=Homo sapiens GN=PAGE2B PE=3 SV=1,0.150605934,0.206801686,0.011257528,0.16805672,0.281814225,0.608824883,0.081821599,0.403661717,0.390344477,0.338160614,0.277672826,1,0.898112672,0.670408017,x
40S ribosomal protein S15a OS=Bos taurus GN=RPS15A PE=2 SV=1,0.153905437,0.209657814,0.107237137,0.318481235,0.269329095,0.608824883,0.199411634,0.511888008,0.059299428,0.212304618,0.701753655,1,0.087139535,0.280922559,x
Heat shock protein beta-7 OS=Homo sapiens GN=HSPB7 PE=1 SV=1,0.952179411,0.593741818,0.580885817,0.498218362,0.586276498,0.655737979,0.43049781,0.626656693,0.907561742,0.50275703,0.247727985,1,0.329092907,0.442607346,x
Exostosin-like 2 OS=Homo sapiens GN=EXTL2 PE=1 SV=1,0.730302345,0.512441125,0.463739939,0.467893329,0.479843227,0.63592952,0.736341819,0.760434923,0.063128627,0.213736408,0.593509022,1,0.208492339,0.386512437,x
Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens GN=ADAM12 PE=1 SV=3,0.402038824,0.349840861,0.881508511,0.585134273,0.483076655,0.63592952,0.750516441,0.766346929,0.419975077,0.347664564,0.789766735,1,0.840416134,0.652489551,x
NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens GN=UBA3 PE=1 SV=2,0.003445049,0.040606408,0.060457093,0.276705992,0.434190471,0.619209355,0.421050136,0.625611111,0.182624358,0.265225998,0.26774953,1,0.698249593,0.595492129,x
Matrix metalloproteinase-19 OS=Homo sapiens GN=MMP19 PE=1 SV=1,0.123322214,0.185006786,0.076778657,0.290252089,0.974401809,0.776013627,0.114302054,0.435178604,0.135352275,0.241004638,0.305171951,1,0.218684894,0.392150951,x
Regakine-1 OS=Bos taurus PE=1 SV=2,0.120511717,0.182960527,0.857900451,0.579484429,0.351852008,0.608824883,0.850943933,0.791390338,0.333593435,0.322071831,0.666939869,1,0.268344625,0.416634879,x
Adipogenesis regulatory factor OS=Homo sapiens GN=ADIRF PE=1 SV=1,0.048178014,0.11103187,0.789978833,0.560629349,0.733594743,0.704239514,0.060318441,0.360079942,0.832036378,0.481798982,0.006020291,1,0.046407541,0.234380785,x
Dihydropteridine reductase OS=Homo sapiens GN=QDPR PE=1 SV=2,0.28052103,0.28771493,0.136373175,0.331434248,0.670497631,0.687310548,0.736374844,0.760434923,0.57425819,0.39547689,0.264263958,1,0.842472755,0.652489551,x
Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4,0.802342034,0.541210275,0.349899785,0.429371006,0.925519997,0.76461931,0.220432628,0.517702994,0.275046695,0.300704709,0.623008665,1,0.14727941,0.333558549,x
Ubiquitin-associated domain-containing protein 2 OS=Homo sapiens GN=UBAC2 PE=1 SV=1,0.049196205,0.111666919,0.542750017,0.489472201,0.063302306,0.608824883,0.328381754,0.580974793,0.160598461,0.252676899,0.669427777,1,0.316021446,0.438492621,x
Vacuolar protein sorting-associated protein 26A OS=Bos taurus GN=VPS26A PE=2 SV=1,0.500967136,0.405387346,0.785446862,0.558254494,0.195862299,0.608824883,0.813359173,0.778212146,0.211551056,0.279213758,0.985040469,1,0.218878505,0.392150951,x
Multiple coagulation factor deficiency protein 2 OS=Homo sapiens GN=MCFD2 PE=1 SV=1,0.672645722,0.48906647,0.844233618,0.576122522,0.461693754,0.624223307,0.619729256,0.709785275,0.25908455,0.296021099,0.459639348,1,0.889808801,0.668802524,x
Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1,0.660617831,0.483605004,0.403955549,0.445649174,0.503485021,0.636245034,0.666225845,0.731115827,0.037891843,0.202796792,0.707802828,1,0.219125398,0.392150951,x
Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2,0.101302928,0.167981548,0.486008686,0.478259263,0.640783042,0.672603714,0.231723195,0.521400175,0.047665523,0.202796792,0.310549543,1,0.064133777,0.262567744,x
Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2,0.001208792,0.028642713,0.07741034,0.290252089,0.348406757,0.608824883,0.183867812,0.496191616,0.047650646,0.202796792,0.437361166,1,0.090926305,0.285046064,x
Ubiquitin-conjugating enzyme E2 K OS=Bos taurus GN=UBE2K PE=1 SV=3,0.151877728,0.207930106,0.869759688,0.582152109,0.34364988,0.608824883,0.6396078,0.716133877,0.333002509,0.321886345,0.608254138,1,0.539442653,0.534698926,x
Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 PE=1 SV=1,0.002935509,0.039958573,0.879969939,0.585134273,0.865904999,0.74974959,0.060727998,0.360079942,0.914373002,0.504452864,0.132559265,1,0.402663162,0.465888481,x
Serpin A3-7 OS=Bos taurus GN=SERPINA3-7 PE=3 SV=1,0.335242608,0.318063281,0.227831657,0.383305771,0.912381632,0.760902663,0.629353616,0.710955626,0.527211192,0.379892812,0.712715814,1,0.787971603,0.634761432,x
GDP-L-fucose synthase OS=Homo sapiens GN=TSTA3 PE=1 SV=1,0.045797977,0.109079121,0.13589695,0.331434248,0.839447976,0.744525648,0.019827429,0.217749986,0.588535649,0.401201544,0.18767024,1,0.381522597,0.453064641,x
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,0.055581561,0.118477674,0.495369909,0.479948518,0.521714571,0.636245034,0.119019106,0.435178604,0.896876792,0.50027152,0.849307042,1,0.99050437,0.695723174,x
UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1,0.30786465,0.304933569,0.985564027,0.613447234,0.328590753,0.608824883,0.459207432,0.63802044,0.320055759,0.318527048,0.42685332,1,0.537302843,0.534020056,x
Glycogenin-1 OS=Homo sapiens GN=GYG1 PE=1 SV=4,0.377372848,0.337923199,0.507055888,0.482747644,0.108506486,0.608824883,0.994150046,0.825463997,0.099025292,0.230303107,0.619903936,1,0.272895121,0.419170235,x
ERO1-like protein alpha OS=Bos taurus GN=ERO1L PE=2 SV=1,0.342631082,0.321127057,0.361292993,0.432274075,0.177773322,0.608824883,0.611062956,0.706968053,0.436710822,0.353101614,0.756531826,1,0.367664228,0.452141063,x
Calcium-regulated heat-stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2,0.259927057,0.277017257,0.156128386,0.34682986,0.438080366,0.619209355,0.191092502,0.505197146,0.251102297,0.292454949,0.854887317,1,0.264015327,0.416634879,x
Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,0.815490597,0.546206748,0.388786236,0.437961466,0.660545761,0.683881818,0.754967599,0.766346929,0.886120563,0.497124436,0.760405868,1,0.906430507,0.672200066,x
Dynein light chain roadblock-type 1 OS=Homo sapiens GN=DYNLRB1 PE=1 SV=3,0.122637259,0.184879609,0.324743905,0.421200843,0.419562259,0.614456869,0.484151138,0.646553306,0.118446033,0.232556846,0.088187509,1,0.777548621,0.630843483,x
Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,0.034055312,0.093366218,0.06797244,0.283908651,0.195673954,0.608824883,0.729152407,0.760359074,0.063554781,0.213736408,0.453573705,1,0.192816151,0.373346927,x
Integrin beta-5 OS=Homo sapiens GN=ITGB5 PE=1 SV=1,0.0597365,0.124170534,0.038857055,0.246646372,0.377972561,0.608824883,0.280760354,0.555770321,0.434468352,0.3530617,0.893318685,1,0.597822732,0.551913501,x
Elongin-B OS=Homo sapiens GN=ELOB PE=1 SV=1,0.791687487,0.537554759,0.949793895,0.602518914,0.386387779,0.608824883,0.786529828,0.773039413,0.38431578,0.335302175,0.759284363,1,0.585504445,0.548811261,x
Apolipoprotein D OS=Bos taurus GN=APOD PE=2 SV=1,0.023684599,0.0776147,0.673474853,0.530030815,0.136392991,0.608824883,0.775122172,0.770692618,0.263700315,0.296381355,0.914194303,1,0.56583751,0.540028072,x
SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,0.524728903,0.41874871,0.970125248,0.609477212,0.880900005,0.751682931,0.812717505,0.778212146,0.855620176,0.487444479,0.695772656,1,0.985130196,0.695723174,x
Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1,0.191720808,0.235601724,0.571391828,0.49418528,0.027616757,0.608824883,0.867477977,0.796000269,0.219486591,0.281951932,0.548564793,1,0.0843176,0.277871251,x
Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1,0.046587113,0.109546954,0.547528978,0.490744042,0.732080352,0.704239514,0.227421537,0.520333851,0.916635531,0.505010708,0.648722222,1,0.63211945,0.566383526,x
Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2,0.833065961,0.553053582,0.307611528,0.409167044,0.231173709,0.608824883,0.314802783,0.574608544,0.789274653,0.466806806,0.94797123,1,0.844494276,0.652489551,x
Histone H1.3 OS=Bos taurus GN=HIST1H1D PE=1 SV=1,0.172892858,0.222215945,0.203291301,0.370304977,0.208787617,0.608824883,0.269027075,0.55410684,0.818535613,0.47804751,0.258649756,1,0.488940478,0.510286714,x
60S ribosomal protein L11 OS=Bos taurus GN=RPL11 PE=2 SV=3,0.371201752,0.336444319,0.320981249,0.420188068,0.409281318,0.61323726,0.620572745,0.709785275,0.235863489,0.286704272,0.615771336,1,0.325970732,0.440785098,x
Enhancer of rudimentary homolog OS=Bos taurus GN=ERH PE=3 SV=1,0.321984542,0.310596508,0.398960152,0.443585567,0.371689375,0.608824883,0.411738955,0.61979949,0.303520145,0.313967612,0.993408201,1,0.303442662,0.431204956,x
Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1,0.927441813,0.586093531,0.396772221,0.442381387,0.130786548,0.608824883,0.400234583,0.614939459,0.119763839,0.232926626,0.318560032,1,0.23878023,0.405003755,x
"Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2",0.070072433,0.136326612,0.69453553,0.53466438,0.179227294,0.608824883,0.958161314,0.820442581,0.046909613,0.202796792,0.315821709,1,0.092627788,0.286345983,x
Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1,0.10078012,0.167981548,0.530359359,0.485384786,0.255858299,0.608824883,0.097015842,0.422507311,0.178774114,0.263825603,0.496127959,1,0.072811082,0.271838176,x
Ubiquitin-fold modifier-conjugating enzyme 1 OS=Bos taurus GN=UFC1 PE=2 SV=1,0.042660385,0.105409613,0.646081774,0.522540423,0.410444575,0.61323726,0.825088114,0.785556796,0.395997137,0.339446971,0.720297312,1,0.403507119,0.466358043,x
Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2,0.33128132,0.316590245,0.913870925,0.593947108,0.238437586,0.608824883,0.916816517,0.812418291,0.527665875,0.379892812,0.979365929,1,0.438561168,0.480771644,x
A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens GN=ADAMTS5 PE=1 SV=2,0.312059285,0.307113263,0.047541566,0.246646372,0.718012218,0.700451484,0.087192456,0.407853989,0.017336214,0.176461091,0.197618464,1,0.025844117,0.197784882,x
Obg-like ATPase 1 OS=Bos taurus GN=OLA1 PE=2 SV=1,0.105885999,0.171068311,0.544186181,0.489472201,0.616187127,0.665787503,0.451857835,0.636207729,0.827496361,0.481081207,0.79716724,1,0.944249551,0.68334369,x
"Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2",0.835214098,0.554081635,0.802314016,0.562933647,0.37491864,0.608824883,0.431297947,0.626656693,0.347518451,0.328486327,0.406512972,1,0.291137541,0.424636575,x
Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=1 SV=2,0.081321415,0.147353958,0.274473141,0.402265047,0.200285323,0.608824883,0.114334959,0.435178604,0.085473495,0.230303107,0.182612418,1,0.056877907,0.2528983,x
Uncharacterized protein C1orf198 OS=Homo sapiens GN=C1orf198 PE=1 SV=1,0.178729236,0.225946322,0.294221523,0.405616752,0.722539279,0.702145736,0.2337551,0.523445606,0.594367051,0.401783338,0.78319679,1,0.512191171,0.523711455,x
60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,0.217001722,0.250270742,0.242922799,0.390392943,0.780658245,0.719593202,0.308617291,0.573193041,0.272815023,0.300704709,0.986758619,1,0.362735902,0.452141063,x
Anamorsin OS=Bos taurus GN=CIAPIN1 PE=2 SV=1,0.005866011,0.050967032,0.010638888,0.16805672,0.638102001,0.672182494,0.015687688,0.2063846,0.011926202,0.157402841,0.922825799,1,0.015897297,0.167464433,x
Partner of Y14 and mago OS=Homo sapiens GN=PYM1 PE=1 SV=1,0.019924835,0.07109221,0.976465093,0.60996508,0.484826799,0.63592952,0.417911382,0.623463064,0.211592253,0.279213758,0.143038438,1,0.066569689,0.265395263,x
Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2,0.637667733,0.475993313,0.605557386,0.507865373,0.744702479,0.706185602,0.758378394,0.767237246,0.465920499,0.363339817,0.553122673,1,0.616941103,0.562249092,x
Matrix-remodeling-associated protein 7 OS=Homo sapiens GN=MXRA7 PE=1 SV=1,0.36109996,0.332038493,0.183157426,0.360269559,0.092705098,0.608824883,0.498280398,0.653674808,0.017593245,0.176461091,0.645903596,1,0.093629577,0.286509747,x
"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens GN=GLS PE=1 SV=1",0.055605893,0.118477674,0.022873436,0.229157908,0.330033163,0.608824883,0.608285272,0.706968053,0.036000502,0.200708451,0.097397691,1,0.2462766,0.409665922,x
60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,0.706541777,0.503750519,0.58080991,0.498218362,0.315117016,0.608824883,0.609071323,0.706968053,0.825856455,0.480931099,0.982061177,1,0.853222327,0.656226889,x
Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1,0.729825199,0.512441125,0.733762453,0.546256045,0.705318811,0.697204705,0.722445887,0.759085023,0.833782908,0.482068877,0.993657982,1,0.836598767,0.651920175,x
C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2,0.968333198,0.597135631,0.091093795,0.298641521,0.239741084,0.608824883,0.71894393,0.757638365,0.431762244,0.351736496,0.104363129,1,0.261210137,0.416585467,x
Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus GN=IMPDH2 PE=2 SV=1,0.359341813,0.330750947,0.932862848,0.598604787,0.507178382,0.636245034,0.383739468,0.606567667,0.497465547,0.371927722,0.329117247,1,0.587734946,0.549269761,x
60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,0.455346581,0.379777626,0.62840742,0.5146059,0.859380758,0.749484233,0.599973176,0.704447867,0.565589781,0.393457085,0.963590883,1,0.542462328,0.53608345,x
Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1,0.280828953,0.28771493,0.805143329,0.562933647,0.862382462,0.749484233,0.351501684,0.594581193,0.940478808,0.511390428,0.613717109,1,0.529327346,0.529931478,x
Testin OS=Bos taurus GN=TES PE=2 SV=1,0.441941777,0.370604355,0.011243688,0.16805672,0.202756975,0.608824883,0.039358924,0.2968492,0.008676377,0.136496087,0.397576927,1,0.085839393,0.278574074,x
Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3,0.149261869,0.206181556,0.967627237,0.609477212,0.340778393,0.608824883,0.391482344,0.610814132,0.209984725,0.279213758,0.11280551,1,0.698731888,0.595492129,x
Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens GN=RAP1GDS1 PE=1 SV=3,0.026356954,0.081189714,0.200807582,0.370075643,0.367481467,0.608824883,0.025524321,0.24989298,0.275263822,0.300704709,0.382893895,1,0.230563534,0.402066429,x
Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,0.500405889,0.405387346,0.339387732,0.427446703,0.688600751,0.692167225,0.585838527,0.6986691,0.649778584,0.419562732,0.399866286,1,0.965299433,0.691077549,x
Dickkopf-related protein 1 OS=Homo sapiens GN=DKK1 PE=1 SV=1,0.348330361,0.324466101,0.611967046,0.510012581,2.90E-05,0.015668274,0.314756415,0.574608544,0.000148495,0.029361388,0.428574689,1,0.012990194,0.165262832,x
Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1,0.0065991,0.052122584,0.74075118,0.548424108,0.123734406,0.608824883,0.746185463,0.766032536,0.311950873,0.316119194,0.622025152,1,0.430624313,0.477480031,x
Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens GN=UCHL3 PE=1 SV=1,0.077149999,0.144615906,0.773789023,0.555843155,0.878803195,0.751682931,0.805822782,0.77603028,0.750216666,0.454935865,0.686035554,1,0.935600536,0.681304722,x
Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,0.054020642,0.117186397,0.347797756,0.429371006,0.357392007,0.608824883,0.361553308,0.604004412,0.580347357,0.397856267,0.577372602,1,0.98655879,0.695723174,x
Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens GN=ADAM17 PE=1 SV=1,0.775114451,0.5296332,0.028848324,0.240633722,0.595216733,0.656549808,0.143090493,0.459841111,0.057343481,0.212066019,0.197749454,1,0.157853205,0.336055727,x
Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2,0.92385088,0.585042197,0.460847245,0.467167454,0.235487681,0.608824883,0.59649063,0.702091105,0.146396126,0.247086874,0.948773221,1,0.272807692,0.419170235,x
Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens GN=MX1 PE=1 SV=4,0.892623286,0.575236078,0.006808808,0.16805672,0.390658475,0.608824883,0.028827323,0.263824296,0.179679077,0.264159775,0.747773294,1,0.192494807,0.373346927,x
Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,0.996065086,0.603998173,0.005693424,0.160228477,0.26521885,0.608824883,0.20951981,0.517702994,0.479969007,0.368225311,0.281538539,1,0.91553141,0.675827545,x
Suprabasin OS=Homo sapiens GN=SBSN PE=1 SV=2,0.000156411,0.013140178,0.053910563,0.260536343,0.137198009,0.608824883,0.019453361,0.216723557,0.867392225,0.490809175,0.221312001,1,0.385402268,0.455320679,x
Pappalysin-2 OS=Homo sapiens GN=PAPPA2 PE=1 SV=4,0.059462692,0.124041754,0.987756433,0.614151608,0.417719985,0.614456869,0.373900966,0.605416816,0.428827925,0.350967444,0.373900966,1,0.116302945,0.304456565,x
Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=1 SV=3,0.495550148,0.40390566,0.793657784,0.561254015,0.15922137,0.608824883,0.98562946,0.825463997,0.502159898,0.371927722,0.784039784,1,0.154497302,0.335717615,x
Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2,0.023601663,0.0776147,0.02857306,0.240633722,0.511367904,0.636245034,0.125481226,0.444925776,0.747495388,0.453626483,0.941310093,1,0.745486165,0.616127075,x
Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,0.19636057,0.237632211,0.794434897,0.561254015,0.895454212,0.755545086,0.385264423,0.607457583,0.675735189,0.428103355,0.481875934,1,0.271810906,0.418713276,x
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3,0.049353531,0.111666919,0.02215282,0.228714576,0.156363008,0.608824883,0.201101686,0.514136374,0.07406077,0.222272678,0.731562823,1,0.094088037,0.286509747,x
40S ribosomal protein S18 OS=Bos taurus GN=RPS18 PE=2 SV=3,0.830326293,0.552027922,0.015808427,0.198126971,0.409316864,0.61323726,0.737862929,0.760466909,0.26798129,0.297516863,0.764168666,1,0.379982207,0.453064641,x
Leiomodin-1 OS=Homo sapiens GN=LMOD1 PE=1 SV=3,0.368842841,0.336130427,0.722331922,0.543550532,0.489981358,0.636071801,0.634417158,0.714120713,0.625415985,0.410365725,0.882964116,1,0.683906818,0.588036371,x
"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2",0.006950277,0.052711941,0.040443146,0.246646372,0.082520316,0.608824883,0.007095416,0.145076259,0.208015122,0.279213758,0.640214192,1,0.099815681,0.297617496,x
Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3,0.001496148,0.032308613,0.159239172,0.349561758,0.194720697,0.608824883,0.376968014,0.605719454,0.1128235,0.232556846,0.298517234,1,0.762771632,0.624087001,x
Golgi reassembly-stacking protein 2 OS=Homo sapiens GN=GORASP2 PE=1 SV=3,0.067208962,0.132428481,0.177055025,0.356737585,0.776625512,0.718234045,0.589789468,0.699242827,0.324033528,0.3201175,0.095198949,1,0.586469345,0.548811261,x
Cochlin OS=Bos taurus GN=COCH PE=2 SV=1,0.32181983,0.310596508,0.227196595,0.383305771,0.380552218,0.608824883,0.261289956,0.548408179,0.038734289,0.202796792,0.817474252,1,0.063927704,0.262567744,x
Nucleophosmin OS=Bos taurus GN=NPM1 PE=2 SV=1,0.549022545,0.430331789,0.51964325,0.48400219,0.393968528,0.608824883,0.846171295,0.790564813,0.295123944,0.310969074,0.570835161,1,0.513067711,0.523711455,x
Spermidine synthase OS=Homo sapiens GN=SRM PE=1 SV=1,0.541341416,0.426964367,0.751272189,0.550586402,0.330264855,0.608824883,0.381502176,0.605782698,0.438081569,0.353101614,0.412283147,1,0.591581088,0.550709856,x
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3,0.173515239,0.22239725,0.89375207,0.588809055,0.735215878,0.704239514,0.799749221,0.77603028,0.867750998,0.490809175,0.902751174,1,0.990265376,0.695723174,x
Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens GN=CHORDC1 PE=1 SV=2,0.012396578,0.058924888,0.1288887,0.328053304,0.124127741,0.608824883,0.262395742,0.548667722,0.048500217,0.202796792,0.140570353,1,0.963855264,0.691077549,x
Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3,0.054629277,0.117952931,0.69670299,0.535165985,0.359657208,0.608824883,0.018618868,0.216723557,0.330288542,0.321468601,0.000100232,0.153354564,0.657666749,0.578368325,x
Non-specific lipid-transfer protein OS=Bos taurus GN=SCP2 PE=1 SV=2,0.156727133,0.211436847,0.105508666,0.318385654,0.917968325,0.762501029,0.713966025,0.75627565,0.148673246,0.247418751,0.336614484,1,0.787723911,0.634761432,x
